,game_id,x_location,y_location,outcome,xg,player,x_end_location,y_end_location,z_end_location,minute,team
957,7560,106.0,51.0,Wayward,0.097458236,Thiago Alcântara do Nascimento,117.0,27.0,,58,Spain
958,7560,115.0,37.0,Blocked,0.095473155,Francisco Román Alarcón Suárez,119.0,43.0,,61,Spain
959,7560,111.0,40.0,Off T,0.029763825,Gerard Piqué Bernabéu,120.0,34.6,0.9,62,Spain
960,7560,110.0,52.0,Wayward,0.0920217,David Josué Jiménez Silva,115.0,45.0,,66,Spain
961,7560,101.0,31.0,Off T,0.03558211,Thiago Alcântara do Nascimento,120.0,48.3,7.4,68,Spain
962,7560,88.0,27.0,Off T,0.011122805,Sergio Ramos García,120.0,46.7,7.4,77,Spain
963,7560,112.0,50.0,Blocked,0.0762503,Hakim Ziyech,114.0,47.0,,79,Morocco
964,7560,110.0,40.0,Goal,0.041208725,Youssef En-Nesyri,120.0,43.4,1.8,80,Morocco
965,7560,113.0,41.0,Wayward,0.13499251,Rodrigo Moreno Machado,119.0,57.0,,85,Spain
966,7560,114.0,34.0,Off T,0.10094765,Marco Asensio Willemsen,120.0,33.1,2.2,86,Spain
967,7560,116.0,44.0,Goal,0.33850184,Iago Aspas Juncal,120.0,37.0,1.6,90,Spain
968,7533,109.0,44.0,Off T,0.22356124,Blerim Džemaili,120.0,43.2,3.5,2,Switzerland
969,7533,115.0,36.0,Off T,0.48552924,José Paulo Bezzera Maciel Júnior,120.0,45.4,0.5,10,Brazil
970,7533,91.0,35.0,Blocked,0.037217073,Neymar da Silva Santos Junior,102.0,38.0,,15,Brazil
971,7533,99.0,21.0,Goal,0.016841125,Philippe Coutinho Correia,120.0,44.0,2.1,19,Brazil
972,7533,115.0,57.0,Wayward,0.009949872,Stephan Lichtsteiner,116.0,60.0,,27,Switzerland
973,7533,116.0,44.0,Wayward,0.31536713,Gabriel Fernando de Jesus,119.0,15.0,,32,Brazil
974,7533,105.0,26.0,Blocked,0.056690484,Steven Zuber,107.0,31.0,,39,Switzerland
975,7533,116.0,32.0,Off T,0.06602788,Thiago Emiliano da Silva,120.0,42.8,3.8,46,Brazil
976,7533,88.0,23.0,Off T,0.014396477,Blerim Džemaili,120.0,45.8,0.9,45,Switzerland
977,7533,116.0,41.0,Goal,0.18957695,Steven Zuber,120.0,41.9,2.5,49,Switzerland
978,7533,97.0,33.0,Blocked,0.030247035,Philippe Coutinho Correia,109.0,37.0,,56,Brazil
979,7533,104.0,36.0,Blocked,0.04241197,Philippe Coutinho Correia,105.0,35.0,,56,Brazil
980,7533,116.0,30.0,Blocked,0.06680265,Neymar da Silva Santos Junior,116.0,30.0,,56,Brazil
981,7533,110.0,43.0,Wayward,0.03988827,Thiago Emiliano da Silva,108.0,48.0,,58,Brazil
982,7533,89.0,36.0,Off T,0.020881243,Carlos Henrique Casimiro,120.0,44.0,3.9,58,Brazil
983,7533,94.0,41.0,Blocked,0.022049388,Fernando Luiz Rosa,108.0,37.0,,65,Brazil
984,7533,101.0,51.0,Blocked,0.02408877,Willian Borges da Silva,105.0,43.0,,66,Brazil
985,7533,100.0,57.0,Off T,0.029247304,Willian Borges da Silva,120.0,36.8,6.3,66,Brazil
986,7533,108.0,32.0,Off T,0.08430531,Philippe Coutinho Correia,120.0,46.9,0.2,69,Brazil
987,7533,100.0,42.0,Saved,0.042691715,Blerim Džemaili,118.0,38.0,0.2,72,Switzerland
988,7533,92.0,52.0,Off T,0.021299455,Fernando Luiz Rosa,120.0,43.8,5.0,76,Brazil
989,7533,96.0,21.0,Saved,0.011018849,Neymar da Silva Santos Junior,120.0,36.2,0.5,77,Brazil
990,7533,114.0,54.0,Off T,0.047524527,Roberto Firmino Barbosa de Oliveira,120.0,44.6,3.5,81,Brazil
